feature,frequency
D19_SOZIALES,50
D19_KONSUMTYP,50
D19_KONSUMTYP_MAX,50
KBA13_ALTERHALTER_30,43
KBA13_PEUGEOT,40
KBA13_KMH_110,38
HH_EINKOMMEN_SCORE,37
KBA13_KW_90,36
ANZ_HH_TITEL,35
D19_VERSI_ONLINE_QUOTE_12,27
PLZ8_ANTG1,22
KBA13_SEG_SPORTWAGEN,20
KBA13_HALTER_30,18
VERDICHTUNGSRAUM,17
KBA13_HALTER_65,15
KBA13_ANZAHL_PKW,15
KBA13_CCM_1500,14
KBA05_ANTG1,14
KBA05_ZUL2,14
KBA13_CCM_1000,13
KBA13_HALTER_60,12
KBA13_SEG_MITTELKLASSE,12
KBA05_ZUL4,12
RT_SCHNAEPPCHEN,11
KBA13_CCM_1800,11
KBA13_KW_121,11
diff_GEBURTSJAHREINGEFUEGT_AM,11
D19_LETZTER_KAUF_BRANCHE,11
KBA13_CCM_1600,11
KBA13_HALTER_25,10
MOBI_RASTER,10
KBA13_OPEL,10
KBA13_MERCEDES,10
D19_BANKEN_ONLINE_QUOTE_12,9
KBA05_SEG7,9
ARBEIT,9
KBA13_KW_61_120,9
KBA05_KRSAQUOT,8
D19_GESAMT_ANZ_24,8
KBA13_HERST_FORD_OPEL,8
KBA13_BJ_2008,8
KBA13_SITZE_6,8
PLZ8_ANTG2,7
KBA05_ZUL1,7
ANZ_STATISTISCHE_HAUSHALTE,7
KBA13_HERST_AUDI_VW,7
ANZ_PERSONEN,6
KBA13_KW_50,6
KBA13_HHZ,6
KBA05_SEG2,6
KBA13_KRSSEG_OBER,6
KBA05_MOTOR,6
SEMIO_REL,5
KBA05_MAXSEG,5
KBA13_KW_60,5
KBA05_MOTRAD,5
FINANZ_SPARER,5
PLZ8_HHZ,4
D19_TELKO_ONLINE_QUOTE_12,4
KBA13_VORB_0,4
KBA13_BJ_2000,4
KBA13_SEG_KOMPAKTKLASSE,4
diff_GEBURTSJAHRMIN_GEBAEUDEJAHR,4
PLZ8_ANTG3,4
KBA05_GBZ,4
MIN_GEBAEUDEJAHR,4
PLZ8_GBZ,4
KONSUMNAEHE,4
KBA13_KW_30,3
KBA13_ANTG2,3
KBA13_HALTER_35,3
D19_VERSAND_ONLINE_DATUM,3
KBA05_HERST3,3
KBA13_KRSSEG_KLEIN,3
KBA13_NISSAN,3
KBA05_MOD3,3
MOBI_REGIO,3
GEMEINDETYP,3
KBA13_SEG_GELAENDEWAGEN,3
ORTSGR_KLS9,2
KBA05_KRSHERST3,2
AKT_DAT_KL,2
D19_SCHUHE,2
KBA13_ANTG1,2
SEMIO_ERL,2
KBA13_ALTERHALTER_60,2
KBA13_CCM_3001,2
D19_GESAMT_DATUM,2
RELAT_AB,2
KBA13_SEG_MINIWAGEN,1
FINANZTYP,1
VK_DHT4A,1
KBA13_KMH_211,1
D19_GESAMT_ANZ_12,1
ALTERSKATEGORIE_FEIN,1
KBA13_FAB_SONSTIGE,1
KBA13_SEG_WOHNMOBILE,1
KBA13_HALTER_66,1
KBA05_KW2,1
LP_FAMILIE_GROB,1
KBA13_GBZ,1
KBA13_VORB_1_2,1
KBA05_ZUL3,1
KBA13_SEG_OBEREMITTELKLASSE,1
AGER_TYP,1
KBA13_KW_0_60,1
FINANZ_UNAUFFAELLIGER,1
ONLINE_AFFINITAET,1
KBA05_DIESEL,1
KBA05_MAXHERST,1
SEMIO_RAT,1
KBA05_KW1,1
KBA05_MOD4,1
D19_VERSAND_ANZ_24,1
KBA13_ALTERHALTER_61,1
KBA13_KW_40,1
KBA13_SEG_SONSTIGE,1
